Metric,Value
Annual Return,0.5996797352565715
Annual Volatility,0.23271270298404556
Sharpe Ratio,2.405024427458703
Sortino Ratio,3.979108610890756
Maximum Drawdown,-0.1496684421312983
Calmar Ratio,4.006721301545291
