Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2019-01-02,37.46919631958008,76.95649719238281,52.2705078125,94.19314575195312,3.3730525970458984
2019-01-03,33.73699951171875,75.01399993896484,50.82284164428711,90.72796630859375,3.169262170791626
2019-01-04,35.177207946777344,78.76950073242188,53.42972183227539,94.94766998291016,3.3723087310791016
2019-01-07,35.09890365600586,81.47550201416016,53.32317352294922,95.0687255859375,3.550841808319092
2019-01-08,35.768001556396484,82.8290023803711,53.79151916503906,95.75804901123047,3.462441921234131
2019-01-09,36.37540817260742,82.97100067138672,53.607154846191406,97.1273422241211,3.5305378437042236
2019-01-10,36.49165725708008,82.81099700927734,53.46739196777344,96.50326538085938,3.5961554050445557
2019-01-11,36.13338851928711,82.02799987792969,52.75570297241211,95.75804901123047,3.685298204421997
2019-01-14,35.59003448486328,80.8604965209961,52.1134033203125,95.05944061279297,3.725165367126465
2019-01-15,36.31845474243164,83.72799682617188,53.84801483154297,97.81665802001953,3.7110507488250732
2019-01-16,36.76215362548828,84.18900299072266,53.99669647216797,98.16133117675781,3.6855461597442627
2019-01-17,36.98044204711914,84.66100311279297,54.47297668457031,98.85063934326172,3.7568602561950684
2019-01-18,37.20822525024414,84.80999755859375,54.87838363647461,100.33171081542969,3.885869026184082
2019-01-22,36.37303161621094,81.6084976196289,53.45748519897461,98.4407730102539,3.6838130950927734
2019-01-23,36.52012252807617,82.0009994506836,53.74394226074219,99.40020751953125,3.696687936782837
2019-01-24,36.23066329956055,82.74649810791016,53.72362518310547,98.9251480102539,3.9084012508392334
2019-01-25,37.43124008178711,83.52850341796875,54.5914306640625,99.82870483398438,3.965601921081543
2019-01-28,37.084835052490234,81.89450073242188,53.518436431884766,97.88188171386719,3.4173755645751953
2019-01-29,36.70045471191406,79.69400024414062,53.03274154663086,95.88848876953125,3.258652448654175
2019-01-30,39.208370208740234,83.52149963378906,54.41697311401367,99.09281158447266,3.4020235538482666
2019-01-31,39.49072265625,85.9365005493164,55.79970932006836,97.2763900756836,3.5595083236694336
2019-02-01,39.50969696044922,81.3115005493164,55.43940734863281,95.73941802978516,3.583775520324707
2019-02-04,40.63197326660156,81.66549682617188,56.56938552856445,98.49665832519531,3.693964719772339
2019-02-05,41.32715606689453,82.94049835205078,57.08729553222656,99.87528228759766,3.713031768798828
2019-02-06,41.341400146484375,82.01300048828125,55.651031494140625,98.76681518554688,3.7885549068450928
2019-02-07,40.55841827392578,80.71849822998047,54.80949783325195,98.0588607788086,3.6503841876983643
